T,R,Ch2so4,a-pinene,3-carene,b-pinene,time,limonene,alpha-terpinene,gamma-terpinene,terpinolene,p-cymene,alpha-terpinene-output,gamma-terpinene-output,terpinolene-output,p-cymene-output
101,0.2185,5.33,0.4772,0.1133,0.3469,153,0.0416,2.2976,0.9216,1.5264,0.1696,2.209426218,0.886232244,1.467822153,0.16309135
101,0.2185,5.33,0.4772,0.1133,0.3469,204,0.0288,2.0064,0.7744,1.3536,0.2432,1.929401447,0.74468126,1.301653608,0.233866842
101,0.2185,5.33,0.4772,0.1133,0.3469,257,0.0096,1.344,0.5504,1.0304,0.3712,1.292422022,0.52927759,0.990856883,0.356954654
101,0.2185,5.33,0.4772,0.1133,0.3469,269,0.0096,1.1648,0.4736,0.9344,0.416,1.120099086,0.455424903,0.898541025,0.400035388
78,0.28,4.25,0.4072,0.1333,0.3906,0,0.256,0,0,0,0.008,0,0,0,0.007692988
78,0.28,4.25,0.4072,0.1333,0.3906,10,0.2624,0,0,0,0.0096,0,0,0,0.009231586
78,0.28,4.25,0.4072,0.1333,0.3906,20,0.2656,0,0,0,0.0128,0,0,0,0.012308781
78,0.28,4.25,0.4072,0.1333,0.3906,25,0.2688,0,0,0,0.0128,0,0,0,0.012308781
78,0.28,4.25,0.4072,0.1333,0.3906,35,0.2752,0,0,0,0.016,0,0,0,0.015385976
78,0.28,4.25,0.4072,0.1333,0.3906,250,0.4128,1.024,0.8352,1.1872,0.112,0.984702493,0.803147971,1.141639453,0.107701835
78,0.28,4.25,0.4072,0.1333,0.3906,269,0.4128,1.1008,0.928,1.2288,0.1248,1.05855518,0.892386634,1.181642991,0.120010616
80,0.3397,6.58,0.408,0.1269,0.3981,0,0.256,0,0,0,0.0112,0,0,0,0.010770184
80,0.3397,6.58,0.408,0.1269,0.3981,1.5,0.2624,0.0416,0.0224,0.0768,0.0176,0.040003539,0.021540367,0.073852687,0.016924574
80,0.3397,6.58,0.408,0.1269,0.3981,45,0.128,2.2912,1.1968,1.4624,0.0832,2.203271828,1.150871039,1.406278248,0.080007078
80,0.3397,6.58,0.408,0.1269,0.3981,60,0.064,2.4096,1.1744,1.4688,0.096,2.317128054,1.129330672,1.412432638,0.092315859
80,0.3397,6.58,0.408,0.1269,0.3981,160,0.016,2.3328,0.8288,1.5808,0.1936,2.243275367,0.79699358,1.520134473,0.186170315
72,0.2421,4.15,0.428,0.1654,0.3577,0,0.256,0,0,0,0.0064,0,0,0,0.006154391
72,0.2421,4.15,0.428,0.1654,0.3577,10,0.256,0,0,0,0.0096,0,0,0,0.009231586
72,0.2421,4.15,0.428,0.1654,0.3577,75,0.2816,0.0544,0.0384,0.1152,0.032,0.05231232,0.036926343,0.11077903,0.030771953
72,0.2421,4.15,0.428,0.1654,0.3577,140,0.3168,0.16,0.1312,0.3456,0.0656,0.153859765,0.126165007,0.332337091,0.063082503
72,0.2421,4.15,0.428,0.1654,0.3577,205,0.3488,0.2976,0.272,0.5408,0.1088,0.286179162,0.2615616,0.520046004,0.10462464
72,0.2421,4.15,0.428,0.1654,0.3577,270,0.368,0.4544,0.4096,0.704,0.152,0.436961731,0.393880997,0.676982964,0.146166776
76,0.2746,4.38,0.548,0.3175,0.0804,0,0.2784,0,0,0,0.016,0,0,0,0.015385976
76,0.2746,4.38,0.548,0.3175,0.0804,5,0.2784,0,0,0,0.016,0,0,0,0.015385976
76,0.2746,4.38,0.548,0.3175,0.0804,35,0.2816,0,0,0,0.0256,0,0,0,0.024617562
76,0.2746,4.38,0.548,0.3175,0.0804,55,0.2848,0.0416,0.0288,0.0768,0.0416,0.040003539,0.027694758,0.073852687,0.040003539
76,0.2746,4.38,0.548,0.3175,0.0804,180,0.3232,0.3136,0.2624,0.4608,0.1536,0.301565138,0.252330014,0.443116122,0.147705374
76,0.2746,4.38,0.548,0.3175,0.0804,235,0.336,0.5024,0.4288,0.6784,0.2256,0.483119661,0.412344169,0.652365402,0.216942268
84,0.2328,4.16,0.4277,0.1225,0.396,0,0.2528,0,0,0,0.0096,0,0,0,0.009231586
84,0.2328,4.16,0.4277,0.1225,0.396,5,0.256,0,0,0,0.016,0,0,0,0.015385976
84,0.2328,4.16,0.4277,0.1225,0.396,15,0.2784,0.064,0.0416,0.128,0.032,0.061543906,0.040003539,0.123087812,0.030771953
84,0.2328,4.16,0.4277,0.1225,0.396,35,0.336,0.2624,0.1888,0.4608,0.0528,0.252330014,0.181554522,0.443116122,0.050773722
84,0.2328,4.16,0.4277,0.1225,0.396,60,0.3968,0.5504,0.4352,0.7936,0.0976,0.52927759,0.418498559,0.763144432,0.093854456
84,0.2328,4.16,0.4277,0.1225,0.396,150,0.3968,1.136,0.912,1.2576,0.2752,1.092404328,0.877000658,1.209337749,0.264638795
89,0.2602,4,0.41,0.13,0.39,0,0.2432,0,0,0,0.0144,0,0,0,0.013847379
89,0.2602,4,0.41,0.13,0.39,1.5,0.2432,0,0,0,0.0144,0,0,0,0.013847379
89,0.2602,4,0.41,0.13,0.39,3,0.2432,0,0,0,0.016,0,0,0,0.015385976
89,0.2602,4,0.41,0.13,0.39,10,0.256,0.0256,0.016,0.0512,0.0256,0.024617562,0.015385976,0.049235125,0.024617562
89,0.2602,4,0.41,0.13,0.39,20,0.2752,0.0608,0.0416,0.1088,0.0336,0.058466711,0.040003539,0.10462464,0.032310551
89,0.2602,4,0.41,0.13,0.39,60,0.3904,0.416,0.3488,0.7232,0.08,0.400035388,0.335414287,0.695446136,0.076929882
89,0.2602,4,0.41,0.13,0.39,120,0.432,0.9248,0.7776,1.1648,0.1984,0.889309439,0.747758456,1.120099086,0.190786108
89,0.2602,4,0.41,0.13,0.39,180,0.2272,1.5136,1.0304,1.0528,0.3488,1.455513372,0.990856883,1.012397251,0.335414287
81,0.19,4,0.602,0.255,0.072,0,0.2624,0,0,0,0.024,0,0,0,0.023078965
81,0.19,4,0.602,0.255,0.072,30,0.272,0.0288,0.0224,0.0512,0.0352,0.027694758,0.021540367,0.049235125,0.033849148
81,0.19,4,0.602,0.255,0.072,85,0.3168,0.16,0.144,0.352,0.0768,0.153859765,0.138473788,0.338491482,0.073852687
